Model Year,Model,Title State/Type,Location,Auction Date,Auctual Cash Value,Actual Cash Value Currency,Repair Cost,Repair Cost Currency,Odometer,Prim Damage,Sec Damage,Price Sold or Highest Bid,Price Sold or Highest Bid Currency
2020,Toyota COROLLA LE,TX SV,TX - DALLAS,2020-05-09,17649.0,USD $,22471.0,USD $,854 A,Front end,Undercarriage,5800.0,USD $
2020,Toyota COROLLA SE,FL CD,FL - MIAMI CENTRAL,2020-05-08,30521.0,USD $,,,2811 A,Front end,Side,8500.0,USD $
2020,Toyota COROLLA LE,GA ST,GA - ATLANTA WEST,2020-05-07,18612.0,USD $,18612.0,USD $,4027 A,Front end,Biohazard/chemical,5400.0,USD $
2020,Toyota PRIUS PRIM,NY SM,NY - NEWBURGH,2020-05-07,26502.0,USD $,,,11550 E,Side,,7000.0,USD $
2020,Toyota COROLLA LE,ON CT,ON - TORONTO,2020-05-06,,,,,29535 A,Normal wear,Normal wear,20000.0,CAD $
2020,Toyota CAMRY SE,TN RC,FL - JACKSONVILLE EAST,2020-05-04,,,,,9 A,Water/flood,Normal wear,14200.0,USD $
2020,Toyota COROLLA LE,CA SC,CA - LOS ANGELES,2020-05-04,20481.0,USD $,,,4143 A,Side,Front end,9000.0,USD $
2020,Toyota SUPRA BASE,MD SQ,NC - CHINA GROVE,2020-05-04,53155.0,USD $,,,0 N,Front end,Undercarriage,19500.0,USD $
2020,Toyota COROLLA LE,MO JT,TN - NASHVILLE,2020-05-04,16588.0,USD $,22569.0,USD $,13502 A,Front end,,5600.0,USD $
2020,Toyota COROLLA LE,GA ST,GA - ATLANTA EAST,2020-05-02,16458.0,USD $,,,27685 A,Side,Mechanical,6900.0,USD $
2020,Toyota COROLLA LE,MO JT,GA - ATLANTA WEST,2020-05-01,16795.0,USD $,,,12913 N,Front end,,5900.0,USD $
2020,Toyota RAV4 LE,FL RB,FL - TALLAHASSEE,2020-05-01,24634.0,USD $,18451.0,USD $,364 A,Rear end,Undercarriage,11500.0,USD $
2020,Toyota CAMRY LE,FL RB,FL - TAMPA SOUTH,2020-05-01,22815.0,USD $,14152.0,USD $,5225 A,Rear end,,7900.0,USD $
2020,Toyota COROLLA LE,CA DZ,CA - FRESNO,2020-04-30,20170.0,USD $,,,8840 A,Front end,Side,7800.0,USD $
2020,Toyota COROLLA SE,GA ST,GA - TIFTON,2020-04-29,17305.0,USD $,9230.0,USD $,17678 A,Front end,,5900.0,USD $
